date,store_id,store_name,city,unique_products_sold,total_ordered_kg,total_sold_kg,total_wasted_kg,revenue,waste_cost,temperature_c,had_event,day_of_week,month
2024-01-01,1,FreshMart Downtown,Metro City,55,2570.8,2221.5,307.2,6414.86,512.14,-2.0,1,0,1
2024-01-01,2,FreshMart Uptown,Metro City,73,2653.5,2274.9,276.5,7858.52,526.27,-2.0,1,0,1
2024-01-01,3,GreenGrocer Central,Metro City,38,1259.1,1101.3,113.8,3234.93,176.75,-2.0,1,0,1
2024-01-01,4,SuperSave East,Metro City,49,2548.9,2186.5,279.8,7805.71,538.57,-2.0,1,0,1
2024-01-01,5,FreshMart Valley,Green Valley,39,1227.3,1066.7,113.3,3504.84,201.9,8.4,1,0,1
2024-01-01,6,Nature's Best,Green Valley,32,896.4,774.3,77.8,2785.4,173.13,8.4,1,0,1
2024-01-01,7,Valley Organics,Green Valley,67,1602.4,1387.6,136.7,4544.08,266.49,8.4,1,0,1
2024-01-01,8,Harbor Fresh,Harbor Town,78,3537.7,3040.2,398.2,9378.33,773.66,2.6,1,0,1
2024-01-01,9,Seaside Market,Harbor Town,75,2610.3,2265.7,270.1,8085.47,580.4,2.6,1,0,1
2024-01-01,10,Dock Street Grocery,Harbor Town,57,1715.3,1512.6,144.3,4646.83,297.41,2.6,1,0,1
2024-01-02,1,FreshMart Downtown,Metro City,65,3084.7,2701.0,306.7,8442.37,547.09,-5.6,0,1,1
2024-01-02,2,FreshMart Uptown,Metro City,45,1719.9,1479.1,152.5,4393.14,222.6,-5.6,0,1,1
2024-01-02,3,GreenGrocer Central,Metro City,54,1648.9,1422.8,173.6,4331.91,278.92,-5.6,0,1,1
2024-01-02,4,SuperSave East,Metro City,46,2526.8,2181.2,253.4,6957.12,459.53,-5.6,0,1,1
2024-01-02,5,FreshMart Valley,Green Valley,74,3209.9,2799.0,310.6,8722.7,556.7,13.2,0,1,1
2024-01-02,6,Nature's Best,Green Valley,57,1834.3,1588.0,176.8,5055.71,301.54,13.2,0,1,1
2024-01-02,7,Valley Organics,Green Valley,45,1308.9,1114.2,139.0,3138.8,203.61,13.2,0,1,1
2024-01-02,8,Harbor Fresh,Harbor Town,47,2410.7,2123.0,213.7,6943.51,382.22,0.0,0,1,1
2024-01-02,9,Seaside Market,Harbor Town,71,2999.4,2607.5,281.4,8194.29,537.69,0.0,0,1,1
2024-01-02,10,Dock Street Grocery,Harbor Town,72,2864.5,2462.1,344.6,7641.27,593.62,0.0,0,1,1
2024-01-03,1,FreshMart Downtown,Metro City,36,1949.0,1692.4,152.5,4931.13,265.99,-6.9,0,2,1
2024-01-03,2,FreshMart Uptown,Metro City,72,2955.2,2624.8,234.1,7858.38,374.41,-6.9,0,2,1
2024-01-03,3,GreenGrocer Central,Metro City,62,1928.7,1646.6,190.5,5866.17,393.19,-6.9,0,2,1
2024-01-03,4,SuperSave East,Metro City,38,2111.9,1796.2,220.0,6182.36,451.08,-6.9,0,2,1
2024-01-03,5,FreshMart Valley,Green Valley,71,2971.6,2542.1,324.0,8161.2,530.4,6.5,0,2,1
2024-01-03,6,Nature's Best,Green Valley,70,2366.4,2092.8,198.7,7116.98,393.18,6.5,0,2,1
2024-01-03,7,Valley Organics,Green Valley,32,987.1,842.6,113.0,2719.12,189.18,6.5,0,2,1
2024-01-03,8,Harbor Fresh,Harbor Town,56,2471.9,2130.1,270.0,6376.22,433.56,7.5,0,2,1
2024-01-03,9,Seaside Market,Harbor Town,65,2370.7,2096.5,208.9,7296.82,416.52,7.5,0,2,1
2024-01-03,10,Dock Street Grocery,Harbor Town,37,1125.8,983.5,118.9,3222.93,189.25,7.5,0,2,1
2024-01-04,1,FreshMart Downtown,Metro City,48,2277.4,1952.0,245.7,6708.25,427.84,-4.8,0,3,1
