date,city,temp_c,humidity,precipitation_mm,wind_speed_kmh,condition,total_sold_kg,total_wasted_kg,revenue,stores_reporting
2024-01-01,Green Valley,8.4,60.1,0.0,11.2,Partly Cloudy,3228.6,327.8,10834.32,3
2024-01-01,Harbor Town,2.6,38.4,0.0,26.6,Sunny,6818.5,812.6,22110.63,3
2024-01-01,Metro City,-2.0,43.9,0.0,21.8,Sunny,7784.2,977.3,25314.02,4
2024-01-02,Green Valley,13.2,47.7,0.0,9.8,Cloudy,5501.2,626.4,16917.21,3
2024-01-02,Harbor Town,0.0,59.7,0.9,5.5,Sunny,7192.6,839.7,22779.07,3
2024-01-02,Metro City,-5.6,64.5,0.0,20.8,Sunny,7784.1,886.2,24124.54,4
2024-01-03,Green Valley,6.5,43.4,0.0,14.5,Sunny,5477.5,635.7,17997.3,3
2024-01-03,Harbor Town,7.5,50.0,0.0,2.9,Sunny,5210.1,597.8,16895.97,3
2024-01-03,Metro City,-6.9,54.9,0.0,15.8,Partly Cloudy,7760.0,797.1,24838.04,4
2024-01-04,Green Valley,10.9,49.2,2.1,19.4,Rain,5373.5,590.8,16298.37,3
2024-01-04,Harbor Town,3.2,36.9,0.0,22.8,Sunny,5158.1,615.5,16202.57,3
2024-01-04,Metro City,-4.8,52.5,0.0,9.5,Sunny,8766.2,1091.4,28513.07,4
2024-01-05,Green Valley,9.2,55.4,0.0,5.9,Partly Cloudy,6225.2,758.8,19023.25,3
2024-01-05,Harbor Town,3.1,45.1,0.0,27.2,Partly Cloudy,4608.5,431.9,14788.31,3
2024-01-05,Metro City,0.8,59.7,0.0,24.1,Sunny,7103.9,883.0,20569.87,4
2024-01-06,Green Valley,7.1,54.8,0.0,18.0,Partly Cloudy,3737.2,437.2,12536.92,3
2024-01-06,Harbor Town,3.6,38.9,1.4,15.7,Cloudy,9967.6,1028.3,29645.62,3
2024-01-06,Metro City,-3.9,54.2,0.0,9.1,Cloudy,11833.3,1247.6,36486.44,4
2024-01-07,Green Valley,13.5,42.6,0.0,19.5,Sunny,5425.9,641.0,16803.8,3
2024-01-07,Harbor Town,5.9,50.2,0.0,20.6,Partly Cloudy,8309.7,1096.7,25820.34,3
2024-01-07,Metro City,-2.8,53.7,0.0,0.0,Cloudy,10965.8,1375.8,36193.01,4
2024-01-08,Green Valley,6.7,53.8,4.0,11.8,Rain,4028.9,462.8,13082.79,3
2024-01-08,Harbor Town,5.8,41.7,0.0,5.4,Sunny,4897.0,572.2,16890.62,3
2024-01-08,Metro City,-4.0,20.0,0.0,2.2,Sunny,7567.1,772.3,22444.4,4
2024-01-09,Green Valley,9.4,46.7,0.0,21.1,Sunny,4602.2,469.0,13680.67,3
2024-01-09,Harbor Town,0.6,44.4,0.0,21.2,Sunny,5555.9,727.0,18138.31,3
2024-01-09,Metro City,0.7,57.5,0.0,16.3,Sunny,9038.5,1113.7,28723.07,4
2024-01-10,Green Valley,10.3,42.4,0.0,29.3,Partly Cloudy,5044.6,533.4,15661.5,3
2024-01-10,Harbor Town,8.9,54.1,0.0,19.0,Sunny,5840.4,668.7,17230.49,3
2024-01-10,Metro City,-2.5,52.8,0.0,14.1,Sunny,9590.6,894.9,28505.74,4
2024-01-11,Green Valley,6.6,44.0,0.0,18.2,Cloudy,4116.8,516.0,12256.11,3
2024-01-11,Harbor Town,9.7,45.3,0.0,18.9,Partly Cloudy,7719.4,844.4,24377.61,3
2024-01-11,Metro City,-5.3,39.5,0.0,1.7,Cloudy,9046.1,952.1,27332.12,4
2024-01-12,Green Valley,8.7,50.0,0.0,23.4,Sunny,5864.0,605.4,17662.16,3
2024-01-12,Harbor Town,0.4,54.2,0.0,4.2,Sunny,8663.8,916.7,25560.65,3
2024-01-12,Metro City,-6.4,46.0,0.0,11.6,Partly Cloudy,8199.8,774.2,24205.26,4
2024-01-13,Green Valley,6.5,42.4,0.0,28.1,Cloudy,5272.9,627.8,16537.77,3
2024-01-13,Harbor Town,8.6,57.7,0.1,20.7,Sunny,8032.1,870.8,25789.62,3
2024-01-13,Metro City,-2.6,47.4,0.0,17.1,Partly Cloudy,12522.3,1272.9,37597.92,4
2024-01-14,Green Valley,7.4,48.1,0.0,3.1,Partly Cloudy,5277.8,650.0,15900.16,3
2024-01-14,Harbor Town,1.5,54.5,3.2,14.9,Rain,7479.5,814.5,23935.72,3
2024-01-14,Metro City,-2.0,40.6,0.0,4.3,Sunny,12336.3,1365.0,39124.0,4
2024-01-15,Green Valley,8.0,47.0,0.0,4.8,Sunny,4366.8,554.0,13848.42,3
2024-01-15,Harbor Town,8.8,43.2,0.0,16.9,Cloudy,5301.1,624.5,15651.52,3
