id,date,store_id,product_id,quantity_on_hand,days_until_expiry,freshness_score
1,2025-12-01,1,9,3.4,0,0.0
2,2025-12-01,1,108,18.9,66,0.37
3,2025-12-01,1,75,13.2,285,0.39
4,2025-12-01,1,100,6.8,143,0.39
5,2025-12-01,1,3,16.0,9,0.43
6,2025-12-01,1,70,6.4,0,0.0
7,2025-12-01,1,83,16.2,3,0.6
8,2025-12-01,1,49,11.1,12,0.86
9,2025-12-01,1,122,7.1,108,0.3
10,2025-12-01,1,81,9.8,4,0.8
11,2025-12-01,1,27,12.7,5,1.0
12,2025-12-01,1,1,24.8,7,1.0
13,2025-12-01,1,54,9.0,0,0.0
14,2025-12-01,1,64,17.1,5,0.71
15,2025-12-01,1,82,7.9,2,0.67
16,2025-12-01,1,138,5.7,5,1.0
17,2025-12-01,1,29,4.7,0,0.0
18,2025-12-01,1,45,10.7,5,0.24
19,2025-12-01,1,14,16.0,8,0.57
20,2025-12-01,1,40,17.8,0,0.0
21,2025-12-01,1,34,16.0,5,1.0
22,2025-12-01,1,96,12.8,157,0.87
23,2025-12-01,1,117,3.3,301,0.82
24,2025-12-01,1,63,8.0,2,0.67
25,2025-12-01,1,57,12.6,12,0.86
26,2025-12-01,1,121,12.2,87,0.48
27,2025-12-01,1,133,3.1,76,0.63
28,2025-12-01,1,120,3.9,266,0.73
29,2025-12-01,1,62,14.8,1,0.33
30,2025-12-01,1,127,6.1,73,0.61
31,2025-12-01,1,71,2.0,0,0.0
32,2025-12-01,1,68,18.6,6,0.6
33,2025-12-01,1,22,55.2,1,0.03
34,2025-12-01,1,20,6.8,3,0.75
35,2025-12-01,1,2,22.3,14,0.67
36,2025-12-01,1,145,2.9,0,0.0
37,2025-12-01,1,99,24.1,298,0.41
38,2025-12-01,1,134,4.5,9,0.64
39,2025-12-01,1,53,9.7,8,0.57
40,2025-12-01,1,8,14.3,6,0.6
41,2025-12-01,1,15,17.8,11,0.52
42,2025-12-01,1,98,9.4,272,0.37
43,2025-12-01,1,105,5.6,710,0.97
44,2025-12-01,1,46,64.6,6,0.86
