id,date,city,temp_c,humidity,precipitation_mm,wind_speed_kmh,condition
1,2024-01-01,Metro City,-2.0,43.9,0.0,21.8,Sunny
2,2024-01-01,Green Valley,8.4,60.1,0.0,11.2,Partly Cloudy
3,2024-01-01,Harbor Town,2.6,38.4,0.0,26.6,Sunny
4,2024-01-02,Metro City,-5.6,64.5,0.0,20.8,Sunny
5,2024-01-02,Green Valley,13.2,47.7,0.0,9.8,Cloudy
6,2024-01-02,Harbor Town,0.0,59.7,0.9,5.5,Sunny
7,2024-01-03,Metro City,-6.9,54.9,0.0,15.8,Partly Cloudy
8,2024-01-03,Green Valley,6.5,43.4,0.0,14.5,Sunny
9,2024-01-03,Harbor Town,7.5,50.0,0.0,2.9,Sunny
10,2024-01-04,Metro City,-4.8,52.5,0.0,9.5,Sunny
11,2024-01-04,Green Valley,10.9,49.2,2.1,19.4,Rain
12,2024-01-04,Harbor Town,3.2,36.9,0.0,22.8,Sunny
13,2024-01-05,Metro City,0.8,59.7,0.0,24.1,Sunny
14,2024-01-05,Green Valley,9.2,55.4,0.0,5.9,Partly Cloudy
15,2024-01-05,Harbor Town,3.1,45.1,0.0,27.2,Partly Cloudy
16,2024-01-06,Metro City,-3.9,54.2,0.0,9.1,Cloudy
17,2024-01-06,Green Valley,7.1,54.8,0.0,18.0,Partly Cloudy
18,2024-01-06,Harbor Town,3.6,38.9,1.4,15.7,Cloudy
19,2024-01-07,Metro City,-2.8,53.7,0.0,0.0,Cloudy
20,2024-01-07,Green Valley,13.5,42.6,0.0,19.5,Sunny
21,2024-01-07,Harbor Town,5.9,50.2,0.0,20.6,Partly Cloudy
22,2024-01-08,Metro City,-4.0,20.0,0.0,2.2,Sunny
23,2024-01-08,Green Valley,6.7,53.8,4.0,11.8,Rain
24,2024-01-08,Harbor Town,5.8,41.7,0.0,5.4,Sunny
25,2024-01-09,Metro City,0.7,57.5,0.0,16.3,Sunny
26,2024-01-09,Green Valley,9.4,46.7,0.0,21.1,Sunny
27,2024-01-09,Harbor Town,0.6,44.4,0.0,21.2,Sunny
28,2024-01-10,Metro City,-2.5,52.8,0.0,14.1,Sunny
29,2024-01-10,Green Valley,10.3,42.4,0.0,29.3,Partly Cloudy
30,2024-01-10,Harbor Town,8.9,54.1,0.0,19.0,Sunny
31,2024-01-11,Metro City,-5.3,39.5,0.0,1.7,Cloudy
32,2024-01-11,Green Valley,6.6,44.0,0.0,18.2,Cloudy
33,2024-01-11,Harbor Town,9.7,45.3,0.0,18.9,Partly Cloudy
34,2024-01-12,Metro City,-6.4,46.0,0.0,11.6,Partly Cloudy
35,2024-01-12,Green Valley,8.7,50.0,0.0,23.4,Sunny
36,2024-01-12,Harbor Town,0.4,54.2,0.0,4.2,Sunny
37,2024-01-13,Metro City,-2.6,47.4,0.0,17.1,Partly Cloudy
38,2024-01-13,Green Valley,6.5,42.4,0.0,28.1,Cloudy
39,2024-01-13,Harbor Town,8.6,57.7,0.1,20.7,Sunny
40,2024-01-14,Metro City,-2.0,40.6,0.0,4.3,Sunny
41,2024-01-14,Green Valley,7.4,48.1,0.0,3.1,Partly Cloudy
42,2024-01-14,Harbor Town,1.5,54.5,3.2,14.9,Rain
43,2024-01-15,Metro City,-0.7,60.1,0.0,10.9,Sunny
44,2024-01-15,Green Valley,8.0,47.0,0.0,4.8,Sunny
45,2024-01-15,Harbor Town,8.8,43.2,0.0,16.9,Cloudy
46,2024-01-16,Metro City,-4.4,40.8,0.0,20.2,Partly Cloudy
47,2024-01-16,Green Valley,10.6,44.8,0.0,32.2,Cloudy
48,2024-01-16,Harbor Town,8.8,39.5,0.0,13.1,Partly Cloudy
49,2024-01-17,Metro City,2.1,35.5,0.3,26.0,Partly Cloudy
50,2024-01-17,Green Valley,1.8,39.4,0.0,0.0,Partly Cloudy
51,2024-01-17,Harbor Town,7.6,30.2,0.0,8.0,Partly Cloudy
52,2024-01-18,Metro City,-0.7,32.6,0.0,18.9,Partly Cloudy
53,2024-01-18,Green Valley,10.7,40.3,0.0,22.8,Partly Cloudy
54,2024-01-18,Harbor Town,5.8,42.0,0.0,0.0,Partly Cloudy
55,2024-01-19,Metro City,-2.3,43.2,3.8,15.0,Rain
56,2024-01-19,Green Valley,6.6,38.4,0.0,11.4,Partly Cloudy
57,2024-01-19,Harbor Town,9.8,41.6,0.0,13.2,Partly Cloudy
58,2024-01-20,Metro City,-1.2,48.7,0.0,24.0,Sunny
59,2024-01-20,Green Valley,9.1,41.2,0.9,5.9,Sunny
60,2024-01-20,Harbor Town,9.9,51.2,1.0,9.4,Sunny
61,2024-01-21,Metro City,4.7,38.0,17.2,14.7,Heavy Rain
62,2024-01-21,Green Valley,7.5,34.4,0.0,22.4,Cloudy
63,2024-01-21,Harbor Town,5.6,37.7,0.9,22.2,Partly Cloudy
64,2024-01-22,Metro City,0.8,54.9,0.0,14.4,Sunny
65,2024-01-22,Green Valley,10.6,51.9,0.0,8.1,Sunny
66,2024-01-22,Harbor Town,6.1,24.5,2.0,0.0,Rain
67,2024-01-23,Metro City,3.6,37.7,0.0,0.0,Partly Cloudy
68,2024-01-23,Green Valley,11.1,40.9,3.5,7.6,Rain
69,2024-01-23,Harbor Town,4.3,50.0,0.0,14.9,Sunny
70,2024-01-24,Metro City,3.8,54.4,0.0,15.8,Cloudy
71,2024-01-24,Green Valley,12.9,38.7,0.6,7.4,Sunny
72,2024-01-24,Harbor Town,9.3,52.2,0.0,27.9,Sunny
73,2024-01-25,Metro City,-2.3,33.1,0.0,12.8,Cloudy
74,2024-01-25,Green Valley,13.2,47.5,0.0,12.8,Sunny
75,2024-01-25,Harbor Town,10.3,55.4,0.0,14.7,Partly Cloudy
76,2024-01-26,Metro City,-2.1,20.6,3.6,12.4,Rain
77,2024-01-26,Green Valley,8.1,21.3,0.0,19.2,Sunny
78,2024-01-26,Harbor Town,3.5,45.0,0.0,15.4,Partly Cloudy
79,2024-01-27,Metro City,-1.0,42.9,1.7,13.9,Snow
80,2024-01-27,Green Valley,9.5,47.1,0.0,11.2,Sunny
81,2024-01-27,Harbor Town,5.1,41.4,5.9,16.6,Rain
82,2024-01-28,Metro City,4.5,51.8,0.0,0.0,Sunny
83,2024-01-28,Green Valley,16.6,50.1,0.3,3.7,Sunny
84,2024-01-28,Harbor Town,11.5,45.4,0.0,12.9,Sunny
85,2024-01-29,Metro City,0.3,39.6,0.0,16.4,Cloudy
86,2024-01-29,Green Valley,13.6,62.3,0.0,19.0,Cloudy
87,2024-01-29,Harbor Town,6.7,47.4,0.0,10.6,Sunny
88,2024-01-30,Metro City,4.6,47.8,0.0,6.6,Cloudy
89,2024-01-30,Green Valley,10.6,32.1,0.0,5.2,Cloudy
90,2024-01-30,Harbor Town,9.3,41.6,0.0,20.0,Sunny
91,2024-01-31,Metro City,1.9,45.1,0.0,11.0,Sunny
92,2024-01-31,Green Valley,11.4,46.8,0.0,14.5,Cloudy
93,2024-01-31,Harbor Town,7.7,53.0,0.0,14.1,Sunny
94,2024-02-01,Metro City,1.6,22.4,0.0,13.1,Sunny
95,2024-02-01,Green Valley,11.5,43.8,0.5,12.5,Sunny
96,2024-02-01,Harbor Town,12.6,32.6,0.0,1.9,Sunny
97,2024-02-02,Metro City,-5.1,45.9,0.0,19.7,Partly Cloudy
98,2024-02-02,Green Valley,12.6,48.2,0.0,21.4,Cloudy
99,2024-02-02,Harbor Town,11.0,41.7,1.1,7.0,Partly Cloudy
100,2024-02-03,Metro City,4.3,39.5,0.0,5.7,Partly Cloudy
101,2024-02-03,Green Valley,12.2,46.9,0.9,15.3,Sunny
102,2024-02-03,Harbor Town,13.3,29.6,3.4,11.6,Rain
103,2024-02-04,Metro City,1.4,25.8,0.0,21.9,Sunny
104,2024-02-04,Green Valley,13.5,62.3,0.0,2.1,Sunny
105,2024-02-04,Harbor Town,7.5,40.3,0.0,26.5,Sunny
106,2024-02-05,Metro City,-0.8,50.1,0.0,25.8,Sunny
107,2024-02-05,Green Valley,9.6,40.7,0.0,25.9,Partly Cloudy
108,2024-02-05,Harbor Town,10.1,43.9,0.0,15.8,Partly Cloudy
109,2024-02-06,Metro City,1.9,30.8,1.7,17.9,Partly Cloudy
110,2024-02-06,Green Valley,14.3,47.6,0.0,23.1,Partly Cloudy
111,2024-02-06,Harbor Town,7.9,44.1,0.0,8.7,Sunny
112,2024-02-07,Metro City,1.9,61.6,1.4,30.3,Sunny
113,2024-02-07,Green Valley,16.0,37.8,0.1,15.1,Sunny
114,2024-02-07,Harbor Town,8.8,44.7,0.0,8.1,Cloudy
115,2024-02-08,Metro City,0.5,48.9,0.0,14.0,Sunny
116,2024-02-08,Green Valley,11.7,20.6,0.0,9.8,Partly Cloudy
117,2024-02-08,Harbor Town,7.8,43.4,0.0,12.0,Sunny
118,2024-02-09,Metro City,1.4,35.0,0.0,6.6,Sunny
119,2024-02-09,Green Valley,10.5,46.0,1.4,24.8,Sunny
120,2024-02-09,Harbor Town,10.8,45.5,2.3,14.7,Rain
121,2024-02-10,Metro City,3.3,37.6,2.3,6.5,Rain
122,2024-02-10,Green Valley,11.9,40.0,4.1,11.9,Rain
123,2024-02-10,Harbor Town,11.4,46.0,1.1,7.0,Partly Cloudy
124,2024-02-11,Metro City,6.7,30.6,0.0,4.9,Cloudy
125,2024-02-11,Green Valley,17.7,32.3,0.8,2.5,Sunny
126,2024-02-11,Harbor Town,8.0,34.0,0.0,23.8,Partly Cloudy
127,2024-02-12,Metro City,1.7,44.2,0.4,6.6,Sunny
128,2024-02-12,Green Valley,16.3,45.6,3.1,12.8,Rain
